state,date,hosp
AK,2023/05/03,1
AK,2023/05/04,1
AK,2023/05/05,1
AK,2023/05/06,1
AK,2023/05/07,1
AK,2023/05/08,0
AK,2023/05/09,0
AK,2023/05/10,0
AK,2023/05/11,0
AK,2023/05/12,0
AK,2023/05/13,0
AK,2023/05/14,0
AK,2023/05/15,0
AK,2023/05/16,0
AK,2023/05/17,0
AK,2023/05/18,0
AK,2023/05/19,0
AK,2023/05/20,0
AK,2023/05/21,0
AK,2023/05/22,0
AK,2023/05/23,0
AK,2023/05/24,0
AK,2023/05/25,0
AK,2023/05/26,0
AK,2023/05/27,0
AK,2023/05/28,2
AK,2023/05/29,1
AK,2023/05/30,0
AK,2023/05/31,0
AK,2023/06/01,0
AK,2023/06/02,0
AK,2023/06/03,0
AK,2023/06/04,0
AK,2023/06/05,1
AK,2023/06/06,1
AK,2023/06/07,0
AK,2023/06/08,0
AK,2023/06/09,0
AK,2023/06/10,0
AK,2023/06/11,1
AK,2023/06/12,0
AK,2023/06/13,0
AK,2023/06/14,1
AK,2023/06/15,2
